category,base_rating,preference,visit_duration_minutes,personalized_rating
attraction,4.1,Family,117.0,4.495054392883643
hotel,4.8,Solo,30.0,4.735674474916518
shopping,4.1,Family,105.0,4.28125370641546
food,4.3,Solo,42.0,4.420272038043297
food,4.4,Couple,78.0,4.686936729270229
attraction,4.3,Friends,108.0,4.479556332894109
food,4.4,Couple,78.0,4.761558091710707
attraction,4.3,Couple,99.00000000000001,4.49751266730371
food,4.3,Solo,42.0,4.348675459320346
food,4.3,Couple,78.0,4.5231258630237035
attraction,4.3,Couple,99.00000000000001,4.472836355848857
food,4.2,Family,72.0,4.479325487749721
hotel,4.8,Family,30.0,4.701762683866641
attraction,4.4,Couple,99.00000000000001,4.615554721855038
food,4.3,Family,72.0,4.430006449417381
shopping,4.5,Family,105.0,4.508294596433929
hotel,4.9,Friends,30.0,4.811948341162644
attraction,4.2,Friends,108.0,4.393534473406795
shopping,4.4,Friends,97.5,4.685230396326198
shopping,4.5,Family,105.0,4.5400347681451025
attraction,4.4,Family,117.0,4.695500906894912
food,4.5,Family,72.0,4.665961710295613
hotel,4.9,Couple,30.0,4.951822702597436
shopping,4.3,Family,105.0,4.404893084664285
attraction,4.4,Family,117.0,4.63967961417001
food,4.3,Solo,42.0,4.393900482239034
attraction,4.2,Couple,99.00000000000001,4.440578924260539
shopping,4.1,Couple,90.0,4.240368165945896
food,4.5,Solo,42.0,4.539465494453519
attraction,4.5,Couple,99.00000000000001,4.70821087153892
food,4.4,Couple,78.0,4.705890785269146
food,4.3,Solo,42.0,4.414845939360988
attraction,4.4,Friends,108.0,4.546940269040259
attraction,4.4,Friends,108.0,4.660409235546969
attraction,4.5,Family,117.0,4.864122136362317
hotel,4.7,Solo,30.0,4.624955016350881
attraction,4.7,Couple,99.00000000000001,4.840571970608757
hotel,4.7,Friends,30.0,4.7925368179113175
attraction,4.2,Friends,108.0,4.321490042682476
attraction,4.6,Family,117.0,4.999999161475609
shopping,4.3,Friends,97.5,4.566796004598579
food,4.4,Couple,78.0,4.752535915644069
attraction,4.6,Solo,72.0,4.898338109777237
attraction,4.3,Family,117.0,4.6278480513599245
shopping,4.3,Solo,67.5,4.357314678747486
food,4.2,Family,72.0,4.469513497363042
attraction,4.3,Couple,99.00000000000001,4.498152612875797
attraction,4.6,Solo,72.0,4.799365270489845
food,4.3,Friends,84.0,4.520432129948926
food,4.4,Solo,42.0,4.48504610337237
attraction,4.6,Couple,99.00000000000001,4.794391091764414
hotel,4.8,Solo,30.0,4.890800602042996
attraction,4.5,Solo,72.0,4.701082866064724
attraction,4.6,Friends,108.0,4.737743609759225
food,4.4,Friends,84.0,4.583939368896304
food,4.3,Friends,84.0,4.619445290310755
hotel,4.8,Couple,30.0,4.805922064824841
shopping,4.2,Family,105.0,4.394795277697729
attraction,4.5,Solo,72.0,4.639524732628134
attraction,4.2,Solo,72.0,4.385771072269042
attraction,4.0,Friends,108.0,4.257600328264659
food,4.2,Solo,42.0,4.326389879637149
shopping,4.2,Friends,97.5,4.382657116840469
shopping,4.4,Family,105.0,4.532390695437194
food,4.2,Friends,84.0,4.462201671553827
food,4.5,Solo,42.0,4.567293212976533
attraction,4.5,Family,117.0,4.816311674298219
shopping,4.5,Family,105.0,4.52076675687871
shopping,4.4,Friends,97.5,4.749254431222064
attraction,4.2,Family,117.0,4.549637668387745
attraction,4.7,Couple,99.00000000000001,4.776278045943101
food,4.3,Couple,78.0,4.577724843023248
shopping,4.5,Solo,67.5,4.706611612594606
attraction,4.6,Friends,108.0,4.785500953534354
attraction,4.7,Solo,72.0,4.951792293192917
food,4.4,Friends,84.0,4.741740886186307
attraction,4.5,Solo,72.0,4.746181578255692
attraction,4.5,Couple,99.00000000000001,4.6513958845969015
shopping,4.2,Couple,90.0,4.4770987204542365
attraction,4.7,Solo,72.0,4.917398016047024
attraction,4.4,Solo,72.0,4.6693843206773
hotel,4.9,Family,30.0,4.82407610338855
attraction,4.5,Friends,108.0,4.79988139968526
food,4.4,Friends,84.0,4.725193986838477
attraction,4.7,Solo,72.0,4.861848625423475
food,4.2,Couple,78.0,4.464828316123188
food,4.3,Friends,84.0,4.484874322896002
hotel,4.6,Couple,30.0,4.534845255584988
attraction,4.4,Couple,99.00000000000001,4.60547066516615
shopping,4.3,Friends,97.5,4.493753492388423
food,4.2,Family,72.0,4.396852130159285
attraction,4.5,Friends,108.0,4.6852494123515225
shopping,4.3,Solo,67.5,4.5106565174472575
shopping,4.3,Couple,90.0,4.530007554471861
attraction,4.5,Solo,72.0,4.79041776351602
shopping,4.4,Couple,90.0,4.584920324514753
shopping,4.3,Couple,90.0,4.503851072437426
attraction,4.6,Family,117.0,4.886160269509932
attraction,4.5,Couple,99.00000000000001,4.666125032406818
attraction,4.2,Family,117.0,4.478933908770366
attraction,4.5,Solo,72.0,4.740182256075223
attraction,4.3,Solo,72.0,4.59324827385383
shopping,4.2,Family,105.0,4.33496425385555
attraction,4.2,Solo,72.0,4.487180212457682
hotel,4.8,Couple,30.0,4.852285550596564
attraction,4.1,Solo,72.0,4.382069837716274
shopping,4.5,Family,105.0,4.506132319112724
attraction,4.4,Friends,108.0,4.623151777818259
attraction,4.5,Friends,108.0,4.633350439652799
attraction,4.1,Couple,99.00000000000001,4.30397162848475
shopping,4.1,Solo,67.5,4.276275252849329
shopping,4.5,Friends,97.5,4.689853835862861
shopping,4.4,Family,105.0,4.444901995374295
attraction,4.7,Couple,99.00000000000001,4.917301652411709
food,4.5,Friends,84.0,4.7454323865539045
food,4.4,Solo,42.0,4.444803190020801
food,4.3,Family,72.0,4.419871032993614
food,4.5,Friends,84.0,4.827341512990217
attraction,4.5,Friends,108.0,4.621152037467886
food,4.4,Solo,42.0,4.507996719243723
food,4.4,Couple,78.0,4.709455713462773
attraction,4.1,Friends,108.0,4.251171405509604
shopping,4.3,Couple,90.0,4.4022971173282635
attraction,4.4,Couple,99.00000000000001,4.496386742893089
food,4.6,Solo,42.0,4.682809200645463
hotel,4.7,Couple,30.0,4.64834841050898
shopping,4.3,Solo,67.5,4.517079373358736
food,4.3,Couple,78.0,4.6255400582373785
attraction,4.7,Couple,99.00000000000001,4.761164963640816
attraction,4.4,Friends,108.0,4.679628443243793
attraction,4.3,Couple,99.00000000000001,4.371537284892424
shopping,4.3,Couple,90.0,4.540572391890508
shopping,4.4,Couple,90.0,4.508643392559643
shopping,4.4,Friends,97.5,4.724151760022569
shopping,4.5,Solo,67.5,4.584145007667212
food,4.4,Friends,84.0,4.736309056930707
attraction,4.4,Solo,72.0,4.664063637046282
attraction,4.5,Couple,99.00000000000001,4.635115856913622
food,4.4,Solo,42.0,4.471045316314809
shopping,4.5,Solo,67.5,4.567167937591473
hotel,4.8,Solo,30.0,4.7161439145751975
attraction,4.7,Couple,99.00000000000001,4.8238306744887325
attraction,4.6,Solo,72.0,4.767266677747134
food,4.2,Solo,42.0,4.370535682658587
hotel,4.7,Friends,30.0,4.75625158879065
food,4.3,Friends,84.0,4.584029445668854
attraction,4.5,Friends,108.0,4.725096928835107
shopping,4.4,Solo,67.5,4.540545357053001
attraction,4.2,Family,117.0,4.46880527797194
food,4.2,Friends,84.0,4.514511519877199
attraction,4.5,Couple,99.00000000000001,4.598707222347345
attraction,4.2,Couple,99.00000000000001,4.266009509047345
food,4.3,Family,72.0,4.442958932177044
attraction,4.5,Solo,72.0,4.735027623674249
shopping,4.3,Friends,97.5,4.565330397780287
shopping,4.5,Solo,67.5,4.693328580439239
shopping,4.1,Friends,97.5,4.301496290420906
food,4.4,Solo,42.0,4.402555877929047
attraction,4.2,Friends,108.0,4.427843890262012
hotel,4.8,Friends,30.0,4.824194588613596
attraction,4.5,Family,117.0,4.87331695226276
hotel,4.8,Friends,30.0,4.727679933297816
hotel,4.6,Family,30.0,4.646720009572982
hotel,4.8,Friends,30.0,4.741304842817836
food,4.3,Couple,78.0,4.608503708230931
food,4.4,Family,72.0,4.588552129144427
shopping,4.3,Family,105.0,4.332715474410624
food,4.4,Family,72.0,4.54310199690671
attraction,4.7,Family,117.0,4.9621573344178955
food,4.2,Friends,84.0,4.486036203673947
shopping,4.4,Family,105.0,4.499900797525513
attraction,4.3,Family,117.0,4.654306785549939
food,4.6,Couple,78.0,4.8032335930325125
attraction,4.6,Family,117.0,4.800993195505658
attraction,4.3,Friends,108.0,4.495758281064565
attraction,4.0,Family,117.0,4.358521545472027
shopping,4.3,Family,105.0,4.338597336314877
attraction,4.4,Family,117.0,4.7779011984767905
attraction,4.6,Family,117.0,4.971618815806686
shopping,4.0,Family,105.0,4.138895933290578
shopping,4.3,Friends,97.5,4.542972390964722
food,4.4,Family,72.0,4.54280947946103
food,4.3,Friends,84.0,4.63468536369914
attraction,4.6,Solo,72.0,4.722026214941774
shopping,4.3,Family,105.0,4.373675829691921
food,4.4,Couple,78.0,4.6906917860310555
food,4.4,Couple,78.0,4.753661780241951
food,4.6,Friends,84.0,4.761366240265636
food,4.2,Friends,84.0,4.505574306860694
hotel,4.8,Couple,30.0,4.725014814148241
shopping,4.5,Friends,97.5,4.831192094358448
shopping,4.3,Couple,90.0,4.518874255027012
attraction,4.3,Friends,108.0,4.588738428881118
food,4.3,Friends,84.0,4.607449341679217
food,4.4,Solo,42.0,4.411477985673035
shopping,4.3,Solo,67.5,4.451130311729402
food,4.4,Family,72.0,4.6462455671795935
food,4.5,Solo,42.0,4.606048552451554
attraction,4.7,Family,117.0,4.914710856700474
attraction,4.7,Family,117.0,4.952346598186328
attraction,4.7,Friends,108.0,4.989843220552423
attraction,4.3,Solo,72.0,4.517091393844367
attraction,4.5,Friends,108.0,4.658301513289591
food,4.3,Family,72.0,4.475888907843945
attraction,4.6,Couple,99.00000000000001,4.796468675829649
attraction,4.4,Solo,72.0,4.668595715795998
hotel,4.7,Couple,30.0,4.755976641522513
shopping,4.4,Couple,90.0,4.588476701213131
attraction,4.5,Couple,99.00000000000001,4.573909190136177
attraction,4.3,Solo,72.0,4.403184061018974
food,4.5,Family,72.0,4.782574914398487
shopping,4.0,Solo,67.5,4.161828032605608
attraction,4.7,Friends,108.0,4.8115455004110945
food,4.6,Family,72.0,4.83310570220853
attraction,4.2,Friends,108.0,4.463436433362298
shopping,4.3,Couple,90.0,4.483984972531855
shopping,4.2,Couple,90.0,4.371320936540608
attraction,4.2,Couple,99.00000000000001,4.4251507614803325
attraction,4.5,Solo,72.0,4.631059963253577
attraction,4.2,Family,117.0,4.466042350261078
attraction,4.7,Family,117.0,4.93052450839971
attraction,4.7,Friends,108.0,4.9865329436781884
attraction,4.7,Solo,72.0,4.8832122493924475
food,4.2,Solo,42.0,4.223670792807306
food,4.6,Friends,84.0,4.943050048432412
attraction,4.5,Family,117.0,4.736329812511491
food,4.2,Family,72.0,4.410933243147035
attraction,4.1,Friends,108.0,4.310264126344822
food,4.2,Friends,84.0,4.439514027947416
attraction,4.6,Solo,72.0,4.7659399412306
shopping,4.5,Couple,90.0,4.707819131548166
attraction,4.1,Friends,108.0,4.367801620647587
hotel,4.9,Solo,30.0,4.9510470581353125
attraction,4.2,Friends,108.0,4.468463616133947
attraction,4.7,Couple,99.00000000000001,4.766371210268547
attraction,4.4,Couple,99.00000000000001,4.625814936716322
shopping,4.5,Couple,90.0,4.6550930003343485
attraction,4.4,Couple,99.00000000000001,4.612772553778962
food,4.4,Family,72.0,4.595204305703108
attraction,4.2,Solo,72.0,4.482236729804524
hotel,4.8,Friends,30.0,4.726356138182843
attraction,4.0,Couple,99.00000000000001,4.135820929607511
food,4.4,Couple,78.0,4.645143078113339
shopping,4.3,Friends,97.5,4.510554347441653
attraction,4.2,Couple,99.00000000000001,4.366233610215473
